text,labels
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,-1
Delivery is expected to take place later this month .,0
"In a sign of receding tensions in international finance, the cost to borrow dollars against other currencies marketâ€¦ https://t.co/VAvMRmY3cR",-1
user: NVDA is a growing cash cow with a 20 P.T by EOY 2013-2014 XK AMD STX QCOM INTC #Technology  ,1
The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District .,0
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,-1
"OST m, my position hurt so bad today. butt, it just slide back to last wednesday. maintain 65.00 target.",1
user catching its breath.  watching DNKN?,1
$AMZN - Amazon establishes new aerospace cloud unit https://t.co/iU2uOt4XDb,1
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,0
"Sensex, Nifty Likely To Open On Positive Note Today
https://t.co/S9ZrtxeUpw",1
Notable S in oil & gas equipment & svs stocks: OII FTI TTI,1
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",0
ISG this technology is still in its infancy...the demand is there.  Hospitals/surgeons want it.  Will only get better over time imo.,1
Could Apple Be a Millionaire Maker Stock? @themotleyfool #stocks $AAPL https://t.co/Wdz7oGbUwC,0
"So far , Mr. Galvan he has been able to avoid laying off workers .",1
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",1
Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program .,1
Buy rating ✅✅ $insg Inseego #stockstowatch #stocks #technology https://t.co/Y00iC3nG3Q,1
user: SSYS  EACHED SI 80%  Crash is near,-1
WMT 5 min   ,1
AAP Apple Support Further Below by user Below  ,-1
My pal has me all jazzed about TSA which I just bought for first time ... user better be right. user nailed this and my axe on it,1
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",0
WFC 5k march 36 7 k april 37 call buyer,1
user:  who wants to buy NFX for 200 a share?  AAP should buy DIS.. BOOM!,1
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",0
OCZ long with a tight stop.  lets see if it has the momo to go,1
"V been pounding the table on this one, outperforming SPY, MA, needs follow thru to seal the deal  ",1
"ya ya $Spx 3,400, spx 2,900, spx 2,600. i can call numbers too. crash this crash that, truth is, FEDS were able to get S&amp;P 500 to 3,100 without spending more than 5% of their intended use. just think what they can do if they really wanted to. stop fighting, follow fed + price.",-1
"RT @IndexPulse: A huge collection of #StockMarket related books

Starting frm basics of #stocks, #candlesticks, #fundamentals, #technicals,…",0
#vmware VMW where? here? there? best wishes dealing with this complex H&S  ,-1
Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .,0
user zeno123 AN of course looking at intra-day is irrelevant for swing trading. no sign revrs  ,-1
BG Crane has a strong customer base in the on-road load handling and related installation and service businesses .,0
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",0
"Rupee Edges Higher To 76.11 Against Dollar
https://t.co/qGDKsdasQq",-1
Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .,-1
The devices also contains Finnair 's own application for compiling customer feed-back and ideas for product development .,0
COH reversed down from the 200-week sma with volume closing 40% above average. S line in new lows well ahead of price.,-1
"Cabinet Approves Schemes To Boost Electronics Manufacturing
https://t.co/nWF2YDRBvH",1
"RT @Goose_Trading: $OBSV (Current Price: 5.75) (Float: 31.716M)
ObsEva and Yuyuan BioScience Technology Announce Submission of the  Pre-IND…",0
"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .",1
"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",1
keep an eye on IDA presentation bout postive drug results at a conf 3pm in NYC today on watch for volume to come in,1
JNP - added to long,1
AFFY iftoff Short squeeze?,1
"Global oil demand will drop by 6.8 million barrels a day in 2020, with the sharpest contraction coming in April amiâ€¦ https://t.co/uqvTCl0bqm",-1
"user: With egal eserves ow, Bank of America Faces a Big awsuit  >> = Big BS ! BAC",1
A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,1
"RT @crushthemarket: I Think A Better Question Is How Far Will The #FED Allow #Stocks To Fall Before They Add To #QE? ""How Far Will The Fed…",1
"Disney misses quarterly profit estimates, offering the first assessment of the damage the pandemic has wreaked on the entertainment giant's business https://t.co/7QsqF5qWQp $DIS",-1
"Core Sector Growth Up 5.5% In February, Highest In 11 Months
https://t.co/Zt5ULlq5F1",1
"$SPX #futures are up 3%+, suggesting the potential for another strong #market day tomorrow. The bullish 1962 analog identified on 3/24 continues to perform as hoped. 

#SPX $COMPQ #QQQ $QQQ $SPY #SPY #investing #coronavirus #COVID19 #stocks #economy #recession $IWM $DIA #STONKS https://t.co/G0unyaxjp5",1
The transaction will take place without payment of merger consideration .,0
"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .",0
HOS Out of the triangle!  from  ,1
YHOO Bullish Breakout confirmed on Expanding Volume  ,1
7 Investing Principals #Investing #StockMarket #Retirement #Stocks #Bonds Download our free guide https://t.co/yWXwHQvLLK https://t.co/FwhK03TggJ,0
"RT @Mephisto731: Braindumping a thread on $SPX, $VIX and vol dynamics prompted by a really nice tweet by @JimmyJude13. Robinhoodies, we're…",1
"MTG if it can hold this 5.10 level, it is a good long imo.,",1
"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix .",0
SHD Eddie ampert is a 1 trick pony...,-1
"RT @ManiaMarkets: Perf YTD:

Gold miner ETF beats Tech faves &amp; Apple in 2020

$QQQ 20.70%
$AAPL 26.92%
$GDX  28.86%
$PAAS 27.14%
$AUY   40%",0
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",1
AAP seems pressured to fill the gap in the 430-431 area,-1
PEIX Bullish volume pattern. ike it on a close over .43  ,1
"Todays Stonks:
 S&amp;P 500 is Starting to Stonk (0.47%)
Dow 30 is Starting to Stonk (0.85%)
Nasdaq is Starting to Stonk (0.17%)

 #Stonks #Stocks #StockMarket",0
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,0
The Dow industrials just wrapped up their sixth worst quarter on record. The second quarter didn't start much betteâ€¦ https://t.co/6sdYhPCjHi,-1
user  I think the same aapl. Iphone lost the wow factor.,-1
"SPS buying some here, small position.  Trades at 8x free cash flow and below 10X PE  Mgmt. has bought back over 3B in stock last 3 yrs",1
user: Anyone know what options strikes einhorn has AAP? He must be getting crushed news was he is in around 525,1
Answers to questions from Wall Street Journal readers about how the temporary suspension of required minimum distriâ€¦ https://t.co/bXF5nAtUbB,1
"Nasdaq continues to lead the way.

All our tech #stocks are performing well and we will continue to buy more but for the time being, we'll wait until the other indices catch up.

Right now the S&amp;P and Dow are lagging behind so until we have added momentum, we will apply caution. https://t.co/Wktepm0TdF",1
AAP this thing going for 450,-1
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,0
CAT 100 roll and poss bearish bat  ,1
"user: from the Sunday watchlist, trying to B/O here. CYH  ",1
"By the end of 2006 , the number of joint branch offices will total 170 .",0
"He found him again , however , after the driver was involved in a two-car accident .",0
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,0
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",1
"NPSP long 8.31, chilling few days on lower volume, lets c if it wants the spot  ",1
CA like the volume in this up move; entry 22.64 stop 21.55  ,1
"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",0
SHD now trading under 200D Moving-Average    ,-1
"RT @AdamMancini4: Happy July 4th weekend! For a month, $SPX built a triangle with 3030 support &amp; 3190 resistance. Explosive move when it br…",1
The final outcome of the rights offering is to be reported around 23 October 2009 .,0
The recruits who have completed the K-retailer trainee program are qualified to start a career as independent retailers in K-stores .,0
"Under the agreement Benefon 's forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed web-based tracking and location technology , in both consumer and commercial applications .",0
"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations .",0
"The total size of the complex is around 25,000 m2 and the project will be constructed in stages .",0
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,1
Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,0
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,0
"@Mindwbw $AAPL keeps milking their customers. 100% fine with that, every business does that. But the customers dont have any milk left.",1
The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .,-1
Futures Movers: Oil finishes higher with supply cuts and pickup in demand lifting U.S. prices by more than 3% #stocks #market https://t.co/k5iFXKNBpw,1
"The total investment necessary will be EUR40m , the company estimated .",0
"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .",0
PEIX gets volume Monday it could go thru tops and set new highs over .50+,1
The implementation of the deal is subject to the approval by the Finnish Competition Authority .,0
"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .",0
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",1
The original contract was signed last summer .,0
GW Corning Set To Emerge From 18-Month Base  ,1
The contract value amounts to EUR 2.4 million .,0
The actions are expected to deliver annual cost savings of some EUR15-20m .,1
MPC Marathon Petroleum Option traders bet 2.4 million on a 21% up move by July for a 8 million dollar payday  ,1
Watch XF JPM BAC OD closely...,-1
Temporary layoffs in these units have already started .,0
"Gold Imports Slump 73% In March To Lowest In Over 6 Years: Report
https://t.co/FK0QiSOT9D",-1
ZNGA  Which two Casino Corporate Jets landed this morning at SFO from McCarren? Which two aw Firms  Jets landed at SFO from Dulles?,1
"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .",0
"RT @lizrhoffman: Morgan Stanley profits down 30%, the least bad of big banks. But warns it might not meet those financial targets that itsâ€¦",-1
EBAY basing  ,1
user: TJX TJX. Fresh All Time High & plenty of support nearby.  ,1
DDD looks an easy short,-1
Affecto has helped SKAT to set up the platform and has previously delivered several Business Intelligence projects for SKAT .,0
"user ots of ppl r making the move to Samsung, I was going to EWY as AAP started reducing ipad screen size & calling them new models.",-1
"RT @KobeissiLetter: S&amp;P 500: Counter-trend rally #2 stalls as 2820 supply imbalance drove $SPX below 2750.

We are now watching the 2710 ke…",-1
Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .,0
APP Compare the squared areas. Aren't they look similar?  ,1
"economics are important, but don’t get turned off

this is a primer for DOM

think of it simply as supply + demand ♋️ 

DOM gives a list of # lined up to buy + everyone lined up to sell

but what if neither will budge?
 
ex:

( $spy $spx $qqq #es_f )",1
"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",0
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,-1
$spy $spx let’s see some fireworks,0
"$spy $ES_F $spx to be honest, that 2538 unfilled gap is actually a double unfilled gap (was a island bottom gap) https://t.co/x00mm7dTc3",1
Some of My Market Thoughts and Swing-Trade Watch-ist Too | STDY HS W HOV SharePlanner  ,1
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ",1
"Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement .",1
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,1
HPQ how many upgrades tomorrow assuming Autonomy is now worth something...,1
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,1
"RT @MarketRebels: Zuckerberg loses $7 billion as companies boycott $FB ads
https://t.co/zI1b40gyxZ",-1
