text,labels
The dividends payable annually shall be deducted from the share subscription price .,0
RT @realJosephRich: Tim Cook furiously trying to save the NASDAQ by buying back $AAPL stock funded by debt bought by the Fed is the lowest…,1
"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",0
"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",1
"Come fly with me, let?s fly, let?s fly away ! al",1
BAC Out of my short for  Should go around 12.00 to consolidate.,-1
AMZN flagging.A clearance of this flag will open the door for more gains to test the all-time highs  ,1
SWY pretty lame selling SWY because WMT sold horse meat in Europe. TH SPY,1
"user: Anyone like V? ooks bullish here, needs a little volume and we have lift off.  ",1
"AEE crosses below 34, and I am shorting it.",-1
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",0
"$spy $spx $ES_F if markets base on weekly charts thursday, yall are in for a treat next week",1
"user I lost 15% of my holdings when it first opened, but have recouped it all through AAP and now FB. Buying more of both",1
E 's building system service had revenue of EUR 355 mln in 2007 .,0
"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",-1
TSA having a quiet day after early session dip:  ,1
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,-1
"The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast .",1
Tekla will implement the renewal in software versions which will be introduced in spring 2011 .,1
RT @PaulPage: The False Choice Between Lockdowns and the Economy:  Countries without lockdowns are in economic free-fall too https://t.co/Uâ€¦,-1
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",-1
AAP bounced back to the trendline. Should it break above? I still short here,-1
MOS long  ,1
Thank you AMZN for pricing Fire at 199 in Nov 2011. et's do same with a phone in 13 and the wireless service in 14. Customers WIN!,1
"Many small businesses in the U.S. were vulnerable even before the coronavirus crisis hit, a New York Fed report shoâ€¦ https://t.co/5Tx0aSTkWq",-1
This transaction will also rationalize our pulp and paper industry related solutions .,1
The company specialises in temporary electrification and heating at construction sites .,0
FCX if it can go over 32.83 it will go gangnam style.,1
Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .,0
"The Finland-based company says it will move into an existing 260,000-square-foot facility in September .",0
There did not seem to be enough hours in a day for Pekkarinen .,0
"For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland .",0
Incap Furniture is presently negotiating staff cuts .,-1
"NG Increasing natural gas prices not exactly great for Cheniere, even if they are just a toll gate.  owers the arbitrage potential...",-1
The new name of the Sanoma Division will be Sanoma News .,0
ooks like those MCP 8 calls for friday are paying well! ,1
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,0
BBY Downgraded by GS... SE,-1
"The Swedish Maritime Administration has closed the Furusund Channel , which Viking Line normally charters en route to Stockholm .",0
IBM Short Setup - 196.25 target:  ,-1
AMTD TD Ameritrade two massive blocks of upside calls over past week.  ,1
JOSB outlier risk profile closer to 24 so will be interesting to see what happens as folks exit options they've written ,-1
CEE hit fib level 51.80.,-1
"Community gardening has become a popular activity , especially to raise vegetables .",0
user any thoughts on short entrance on GS,-1
ooking at a 10am revesal on APP. will go back to 2.00 level soon.,1
The turbines are expected to be launched by the end of 2012 .,0
"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",0
VXY Added 2nd tranche short  11.33 dead cat bounce done BA bull,-1
"BAC Out  12.82 Not being Greedy, Will wait for a pullback or another day to reenter.",1
user: FIO fugly,-1
"Trading Stops For 45 Minutes As Markets Slide 10% Amid Global Selloff
https://t.co/I4qQQaYStv",-1
"TeliaSonera s subsidiary , the mobile operator EMT in Estonia , has created a world s first mobile identification service which makes it possible to vote via a mobile phone .",0
really having some anger boil over for missing NFX short on the gap today. not gonna chase.,-1
"The orders are for 26 machine-room-less KONE MonoSpace elevators , which would be installed during 2006 .",0
"RT @charliebilello: Big tech returns in 2008...
$MSFT: -44%
$AAPL: -57%
$GOOGL: -56%
$AMZN: -45%

Returns in 2020...
$MSFT: +14%
$AAPL: -3%…",0
